_key,player_id,player_name,age_start,year_start,year_end,last_name
DilfTr00,DilfTr00,Trent Dilfer,22,1994,2007,Dilfer
DilsSt00,DilsSt00,Steve Dils,25,1980,1988,Dils
DomrMa00,DomrMa00,Marty Domres,23,1970,1977,Domres
DougBo00,DougBo00,Bobby Douglass,22,1969,1978,Douglass
EasoTo00,EasoTo00,Tony Eason,24,1983,1990,Eason
EdwaTr01,EdwaTr01,Trent Edwards,24,2007,2012,Edwards
ElwaJo00,ElwaJo00,John Elway,23,1983,1998,Elway
EricCr00,EricCr00,Craig Erickson,23,1992,1997,Erickson
EsiaBo00,EsiaBo00,Boomer Esiason,23,1984,1997,Esiason
EvanVi00,EvanVi00,Vince Evans,23,1978,1995,Evans
EverJi00,EverJi00,Jim Everett,23,1986,1997,Everett
FavrBr00,FavrBr00,Brett Favre,22,1991,2010,Favre
FeelA.00,FeelA.00,A.J. Feeley,24,2001,2011,Feeley
FergJo00,FergJo00,Joe Ferguson,23,1973,1990,Ferguson
FerrVi00,FerrVi00,Vince Ferragamo,23,1977,1986,Ferragamo
